Year,Disaster Type,Country,Location,Total Deaths,ISO
1900,Drought,India,Bengal,1250000,IND
1904,Storm,Bangladesh,Chittagong,,BGD
1905,Earthquake,India,Kangra,20000,IND
1906,Storm,Hong Kong,,10000,HKG
1907,Earthquake,China,Tien Shan,12000,CHN
1907,Epidemic,India,,1300000,IND
1908,Industrial accident,India,Nadu Khas,20,IND
1909,Storm,Bangladesh,Bakerganj,172,BGD
1909,Storm,Bangladesh,West Sundarbans,,BGD
1909,Epidemic,China,,1500000,CHN
1909,Epidemic,Indonesia,,40,IDN
1910,Epidemic,China,Manchuria,60000,CHN
1910,Industrial accident,India,Dishergarh,11,IND
1910,Industrial accident,India,Sitalpur,14,IND
1910,Industrial accident,India,Nambarg,14,IND
1911,Storm,Bangladesh,Teknaf,,BGD
1911,Flood,China,,100000,CHN
1912,Storm,China,Wenchou,50000,CHN
1914,Earthquake,Indonesia,"Kepahyang, Bengkulu (Sumatera)",20,IDN
1915,Flood,China,Guangzhou,,CHN
1916,Transport accident,China,,1000,CHN
1916,Storm,India,"Cuddalore, Pondicherry",300,IND
1917,Earthquake,China,Yunnan province,1800,CHN
1917,Flood,China,Tianjin,,CHN
1917,Earthquake,Indonesia,Bali,15000,IDN
1918,Earthquake,China,Kwangtung (Guangdong),10000,CHN
1918,Epidemic,Bangladesh,,393000,BGD
1919,Storm,Bangladesh,Bakerganj,,BGD
1919,Volcanic activity,Indonesia,Small Island between Java and Sumatra,5000,IDN
1920,Earthquake,China,"Gansu, Shanxi provinces",180000,CHN
1920,Drought,China,North,500000,CHN
1920,Epidemic,India,,2000000,IND
1920,Epidemic,India,,500000,IND
1921,Transport accident,China,South China Sea,1000,CHN
1922,Storm,Bangladesh,Teknaf,,BGD
1922,Storm,China,Swatow,100000,CHN
1922,Transport accident,China,Pao Ting Fou,17,CHN
1923,Storm,Bangladesh,"Cox's Bazar, Chittagong",6,BGD
1923,Earthquake,China,Sichuan,5000,CHN
1923,Storm,Hong Kong,,100,HKG
1924,Earthquake,Indonesia,Wonosobo (Central Java),727,IDN
1924,Storm,India,Punjab province,1242,IND
1924,Epidemic,India,,300000,IND
1925,Earthquake,China,Talifu (Yunnan province),5000,CHN
1925,Storm,India,"Bezwada, Masulipatam",80,IND
1926,Storm,Bangladesh,Cox's Bazar,,BGD
1926,Flood,India,Bengal,,IND
1926,Epidemic,India,,423000,IND
1927,Earthquake,Indonesia,"Sulawesi, Donggala",50,IDN
1927,Earthquake,China,Gansu province,40912,CHN
1927,Storm,China,Yeng-Kong,5000,CHN
1927,Storm,India,"Gujarat, Ahmedabad, Baroda",56,IND
1927,Storm,India,Nellore,629,IND
1928,Drought,China,"Shensi, Honan, Kansu",3000000,CHN
1928,Earthquake,Indonesia,Flores sea,128,IDN
1930,Volcanic activity,Indonesia,Java Island,1369,IDN
1931,Flood,China,,3700000,CHN
1931,Volcanic activity,Indonesia,,1300,IDN
1932,Earthquake,Indonesia,"Kakas, Langowan, Poso, Tondano (North Sulawesi)",6,IDN
1933,Earthquake,China,Sichuan prpvince,10000,CHN
1933,Flood,China,"Henan, Hebei, Shandong, Jiangsy",18000,CHN
1934,Landslide,China,Canton,500,CHN
1935,Flood,China,,142000,CHN
1935,Storm,India,,60000,IND
1936,Earthquake,Indonesia,"Banda Aceh, Lhok Sukon, Lhoksemawe",9,IDN
1936,Earthquake,Indonesia,"Tapanuli, Karo (North Sumatera)",17,IDN
1936,Storm,India,Guntur (Madras),233,IND
1936,Industrial accident,India,Poldih,205,IND
1937,Storm,Bangladesh,Noakhali,,BGD
1937,Miscellaneous accident,China,"Antong, Manchuria",658,CHN
1937,Storm,Hong Kong,,11000,HKG
1937,Transport accident,India,Near Patna,107,IND
1938,Earthquake,Indonesia,Tomini Gulf (Central Sulawesi),,IDN
1938,Transport accident,China,Wangmoon,14,CHN
1939,Flood,China,Honan province,500000,CHN
1941,Storm,Bangladesh,"Bhola, East Meghna estuary",5000,BGD
1942,Storm,Bangladesh,West Sundarbans,61000,BGD
1942,Earthquake,China,"Southern China, Yunnan",30,CHN
1942,Transport accident,China,Kunming,13,CHN
1942,Industrial accident,China,"Honkeiko, Manchuria",1549,CHN
1942,Transport accident,Indonesia,"Near Kupang, Timor",13,IDN
1942,Storm,India,"Orissa, West Bengal",40000,IND
1943,Drought,Bangladesh,,1900000,BGD
1943,Earthquake,Indonesia,Jogyakarta (Central Java),213,IDN
1943,Storm,India,Rajputana,5000,IND
1943,Transport accident,India,Near Calcutta,20,IND
1944,Storm,India,Assam,304,IND
1944,Transport accident,India,Off Calcutta,14,IND
1945,Storm,India,"Gujarat, Punjab",,IND
1947,Storm,Bangladesh,"Cox's Bazar, Chittagong",500,BGD
1947,Drought,Bangladesh,,,BGD
1947,Storm,Hong Kong,,2000,HKG
1947,Transport accident,India,,625,IND
1948,Storm,China,Foochow coast,1000,CHN
1948,Storm,China,,800,CHN
1948,Transport accident,China,Mer de Chine,1100,CHN
1948,Flood,China,,330,CHN
1948,Industrial accident,Hong Kong,,135,HKG
1948,Landslide,India,Assam,500,IND
1949,Miscellaneous accident,China,Chung King,1700,CHN
1949,Flood,China,,57000,CHN
1949,Storm,India,"East & West Godavari districts, Masulipatnam",1000,IND
1950,Earthquake,India,Assam province,1500,IND
1950,Flood,China,Anhwei province,500,CHN
1950,Flood,India,Saurashtra,45,IND
1951,Storm,Bangladesh,,200,BGD
1951,Flood,China,Manchuria,4800,CHN
1951,Volcanic activity,Indonesia,,1300,IDN
1952,Storm,India,"Tanjore, Tiruchi",400,IND
1953,Earthquake,Cyprus,Paphos,40,CYP
1953,Flood,Indonesia,,114,IDN
1953,Extreme temperature ,India,,400,IND
1953,Industrial accident,India,Majri,11,IND
1954,Earthquake,Afghanistan,North Region,2000,AFG
1954,Flood,China,Tibet,2000,CHN
1954,Flood,China,"Hopeh, Wuhan province",30000,CHN
1954,Volcanic activity,Indonesia,,37,IDN
1954,Landslide,India,,30,IND
1955,Storm,India,Punjab,1500,IND
1955,Earthquake,China,"Kangting, Sikang (Sichuan province)",39,CHN
1955,Landslide,Indonesia,,405,IDN
1955,Storm,India,Tanjore,500,IND
1956,Earthquake,Afghanistan,Kabul,100,AFG
1956,Flood,Afghanistan,,51,AFG
1956,Storm,China,Hopen-Honan province,2000,CHN
1956,Flood,China,,2000,CHN
1956,Storm,Indonesia,,300,IDN
1956,Earthquake,India,"Anjar, Bhuj, Gandhidham, Kandla",113,IND
1956,Landslide,India,,27,IND
1956,Storm,India,"Parganas, Midnapore (West Bengal)",,IND
1956,Industrial accident,India,Burra,28,IND
1957,Flood,China,,560,CHN
1957,Storm,Hong Kong,,8,HKG
1958,Storm,Bangladesh,East Meghna Estuary,,BGD
1958,Storm,Bangladesh,,500,BGD
1958,Earthquake,Indonesia,Malang (East Java),8,IDN
1958,Landslide,India,,52,IND
1958,Extreme temperature ,India,,651,IND
1958,Industrial accident,India,Chunalami,175,IND
1958,Industrial accident,India,Baro Dhemo,29,IND
1959,Flood,China,North,2000000,CHN
1959,Storm,China,,1064,CHN
1959,Storm,China,Fukien province,720,CHN
1959,Flood,China,,187,CHN
1959,Storm,Hong Kong,,43,HKG
1960,Storm,Bangladesh,"Noakhali, Off-Shore Islands",3000,BGD
1960,Storm,Bangladesh,"Chittagong area, Off-Shore Islands",5149,BGD
1960,Flood,Bangladesh,,10000,BGD
1960,Storm,Hong Kong,"(Aberdeen, Stanley, Cheung Chau",45,HKG
1960,Drought,Hong Kong,,,HKG
1960,Flood,Hong Kong,"Yuen Long, Sheung Shui (New Territories)",15,HKG
1961,Storm,Bangladesh,Megna Eestuary,11000,BGD
1961,Storm,Bangladesh,Chittagong,,BGD
1961,Storm,Bangladesh,,266,BGD
1961,Storm,Hong Kong,,7,HKG
1961,Flood,Hong Kong,Tsuen Wan area (New Territories),,HKG
1961,Extreme temperature ,India,,400,IND
1962,Storm,Hong Kong,"Tai Po, Shatin, Sha Tau Kok areas",183,HKG
1963,Flood,Afghanistan,,107,AFG
1963,Storm,Bangladesh,"Chittagong, Noakhali",22000,BGD
1963,Storm,Bangladesh,,79,BGD
1963,Flood,Bangladesh,,30,BGD
1963,Volcanic activity,Indonesia,Bali,1584,IDN
1963,Volcanic activity,Indonesia,,106,IDN
1963,Storm,India,,112,IND
1964,Industrial accident,Afghanistan,Karkar,74,AFG
1964,Storm,Bangladesh,Jessore district,300,BGD
1964,Flood,Bangladesh,"Rangpur, Comilla",,BGD
1964,Storm,China,,686,CHN
1964,Storm,Hong Kong,,44,HKG
1964,Storm,Hong Kong,,26,HKG
1964,Storm,India,Rameswaram,500,IND
1965,Earthquake,Indonesia,Sanana Island,71,IDN
1965,Storm,Bangladesh,Barisal district,36000,BGD
1965,Storm,Bangladesh,,12047,BGD
1965,Storm,Bangladesh,Chittagong to Teknaf,874,BGD
1965,Drought,China,"Central, South-West",,CHN
1965,Storm,Hong Kong,New Territories,5,HKG
1965,Extreme temperature ,India,,100,IND
1965,Industrial accident,India,Dhori,260,IND
1965,Industrial accident,India,Chinakuri,200,IND
1966,Drought,Indonesia,"Lombok, South",8000,IDN
1966,Storm,Bangladesh,"Chittagong, Sandwip",850,BGD
1966,Flood,Bangladesh,Sylhet,39,BGD
1966,Storm,Hong Kong,,15,HKG
1966,Landslide,Hong Kong,,64,HKG
1966,Drought,Hong Kong,,,HKG
1966,Flood,Hong Kong,,65,HKG
